Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,68.610001,69.889999,68.07,69.190002,1643600,67.63678
2015-12-30,69.57,70.709999,68.379997,68.639999,1909500,67.099123
2015-12-29,69.050003,71.269997,68.949997,70.120003,2614800,68.545903
2015-12-28,69.00,69.080002,66.489998,68.339996,1870300,66.805855
2015-12-24,68.650002,69.559998,67.809998,69.169998,1339900,67.617224
2015-12-23,68.150002,69.75,67.900002,68.949997,2444200,67.402162
2015-12-22,65.919998,68.489998,65.010002,67.650002,3563700,66.13135
2015-12-21,63.509998,66.089996,62.799999,65.760002,2991300,64.283778
2015-12-18,64.110001,65.440002,63.259998,63.400002,7710500,61.976757
2015-12-17,69.099998,69.190002,64.199997,64.269997,3748700,62.827221
2015-12-16,67.169998,69.199997,65.830002,68.989998,4192400,67.441265
2015-12-15,63.740002,67.199997,63.389999,66.040001,4010600,64.557491
2015-12-14,63.299999,64.800003,61.880001,62.77,2906700,61.360898
2015-12-11,65.550003,66.330002,62.07,63.130001,5520000,61.712817
2015-12-10,70.00,70.080002,66.309998,66.459999,4745600,64.968061
2015-12-09,66.760002,73.00,65.660004,69.910004,12687600,68.340618
2015-12-08,62.799999,63.630001,60.439999,61.799999,4571600,60.412672
2015-12-07,64.099998,65.150002,63.119999,64.599998,3427100,63.149815
2015-12-04,65.07,66.239998,62.939999,64.599998,4241000,63.149815
2015-12-03,68.449997,68.82,63.689999,65.080002,3747600,63.619043
2015-12-02,66.260002,71.580002,66.029999,68.50,6911800,66.962267
2015-12-01,63.790001,67.290001,63.50,66.809998,6375200,65.310203
2015-11-30,61.450001,62.919998,60.830002,62.77,2878100,61.360898
2015-11-27,61.549999,61.919998,59.279999,61.049999,2285100,59.679509
2015-11-25,63.419998,63.43,61.639999,62.25,2358500,60.852571
2015-11-24,59.639999,64.00,59.639999,62.950001,5628300,61.536858
2015-11-23,59.50,61.470001,59.50,60.23,2427400,58.877917
2015-11-20,61.799999,61.889999,59.09,59.560001,3778300,58.222959
